director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Carter Smith,Morgan Saylor,Noah Silver,Cameron Monaghan,Drama Thriller,jamie marks is dead,Morgan Saylor Noah Silver Cameron Monaghan Carter Smith Drama Thriller
Wayne Wang,Tom Hulce,Mary Elizabeth Mastrantonio,Virginia Madsen,Mystery Thriller,slam dance,Tom Hulce Mary Elizabeth Mastrantonio Virginia Madsen Wayne Wang Mystery Thriller
Bill Condon,Roger Moore,Malcolm McDowell,Nancy Allen,Crime Drama Thriller,the man who wouldn't die,Roger Moore Malcolm McDowell Nancy Allen Bill Condon Crime Drama Thriller
Peter Hayman,C. Thomas Howell,Roddy Piper,David Carradine,Action Sci-Fi,the shepherd,C. Thomas Howell Roddy Piper David Carradine Peter Hayman Action Sci-Fi
Peter R. Hunt,Scott Glenn,Barbara Carrera,Edward Fox,Action,wild geese ii,Scott Glenn Barbara Carrera Edward Fox Peter R. Hunt Action
Abderrahmane Sissako,Ibrahim Ahmed,Toulou Kiki,Layla Walet Mohamed,Drama,timbuktu,Ibrahim Ahmed Toulou Kiki Layla Walet Mohamed Abderrahmane Sissako Drama
Jason Lockhart,Mindy Robinson,Mayra Leal,Jessica Lee Rose,Comedy,casting couch,Mindy Robinson Mayra Leal Jessica Lee Rose Jason Lockhart Comedy
Sidney J. Furie,Donald Sutherland,John Lithgow,Tia Carrere,Action Comedy Thriller,hollow point,Donald Sutherland John Lithgow Tia Carrere Sidney J. Furie Action Comedy Thriller
Pupi Avati,Gabriele Lavia,Marcello Tusco,Bob Tonelli,Horror,zeder,Gabriele Lavia Marcello Tusco Bob Tonelli Pupi Avati Horror
"Jules Bass Arthur Rankin, Jr.",Shirley Booth,Mickey Rooney,Dick Shawn,Animation Family,the year without a santa claus,"Shirley Booth Mickey Rooney Dick Shawn Jules Bass Arthur Rankin, Jr. Animation Family"
Jared Leto,Jared Leto,Shannon Leto,Tomo Miličević,Documentary Music,artifact,Jared Leto Shannon Leto Tomo Miličević Jared Leto Documentary Music
Markus Dietrich,Devid Striesow,Yvonne Catterfeld,Maxim Mehmet,Adventure Family,sputnik,Devid Striesow Yvonne Catterfeld Maxim Mehmet Markus Dietrich Adventure Family
Peter Lindholm,Kari-Pekka Toivonen,Liisa Kuoppamäki,Matleena Kuusniemi,Drama Romance,kolmistaan,Kari-Pekka Toivonen Liisa Kuoppamäki Matleena Kuusniemi Peter Lindholm Drama Romance
Johanna Vuoksenmaa,Jarkko Niemi,Iina Kuustonen,Minttu Mustakallio,Comedy,adult camp,Jarkko Niemi Iina Kuustonen Minttu Mustakallio Johanna Vuoksenmaa Comedy
Andreas Prochaska,Sam Riley,Paula Beer,Tobias Moretti,Western Drama,the dark valley,Sam Riley Paula Beer Tobias Moretti Andreas Prochaska Western Drama
Christopher Miles,Glenda Jackson,Susannah York,Vivien Merchant,Drama,the maids,Glenda Jackson Susannah York Vivien Merchant Christopher Miles Drama
Christopher Miles,Ian McKellen,Janet Suzman,Ava Gardner,Drama,priest of love,Ian McKellen Janet Suzman Ava Gardner Christopher Miles Drama
Stewart Raffill,Kayla Jackson,Kayla Raparelli,Sal Dupree,Comedy Music Family,standing ovation,Kayla Jackson Kayla Raparelli Sal Dupree Stewart Raffill Comedy Music Family
Ernest Day,Ryan O'Neal,Anne Archer,Omar Sharif,Adventure Romance,green ice,Ryan O'Neal Anne Archer Omar Sharif Ernest Day Adventure Romance
Ernest Day,Anne Archer,Terry Jastrow,"Noah Beery, Jr.",Romance,waltz across texas,"Anne Archer Terry Jastrow Noah Beery, Jr. Ernest Day Romance"
Kevin Lima,Julie Andrews,Jeffrey Tambor,Kenneth Welsh,Comedy Family Mystery,eloise at the plaza,Julie Andrews Jeffrey Tambor Kenneth Welsh Kevin Lima Comedy Family Mystery
Carlo Mazzacurati,Tereza Zajickova,Antonio Albanese,Silvio Orlando,Drama,vesna goes fast,Tereza Zajickova Antonio Albanese Silvio Orlando Carlo Mazzacurati Drama
Mark Rydell,James Franco,Michael Moriarty,Valentina Cervi,Drama,james dean,James Franco Michael Moriarty Valentina Cervi Mark Rydell Drama
Kevin Lima,Julie Andrews,Sofia Vassilieva,Kenneth Welsh,Family Comedy Drama,eloise at christmastime,Julie Andrews Sofia Vassilieva Kenneth Welsh Kevin Lima Family Comedy Drama
Étienne Faure,Pierre Prieur,Adrian James,Raquel Nave,Drama Romance,bizarre,Pierre Prieur Adrian James Raquel Nave Étienne Faure Drama Romance
Yves Boisset,Lino Ventura,Michel Piccoli,Krystyna Janda,Thriller,"spy, stand up",Lino Ventura Michel Piccoli Krystyna Janda Yves Boisset Thriller
Yves Boisset,Charlotte Rampling,Philippe Noiret,Peter Ustinov,Drama,the purple taxi,Charlotte Rampling Philippe Noiret Peter Ustinov Yves Boisset Drama
Yves Boisset,Patrick Dewaere,Aurore Clément,Philippe Léotard,Drama Crime,judge fayard called the sheriff,Patrick Dewaere Aurore Clément Philippe Léotard Yves Boisset Drama Crime
Yves Boisset,Jean Carmet,Pascale Roberts,Ginette Garcin,Drama Thriller,the common man,Jean Carmet Pascale Roberts Ginette Garcin Yves Boisset Drama Thriller
Yves Boisset,Jean-Louis Trintignant,Michel Piccoli,Jean Seberg,Thriller History,the assassination,Jean-Louis Trintignant Michel Piccoli Jean Seberg Yves Boisset Thriller History
Yves Boisset,Senta Berger,Sterling Hayden,Raymond Pellegrin,Crime,angel's leap,Senta Berger Sterling Hayden Raymond Pellegrin Yves Boisset Crime
Yves Boisset,Bruno Cremer,Renaud Verley,Marianne Comtell,Thriller Crime Mystery,safety catch,Bruno Cremer Renaud Verley Marianne Comtell Yves Boisset Thriller Crime Mystery
René Clément,Jean-Louis Trintignant,Robert Ryan,Lea Massari,Crime Drama,and hope to die,Jean-Louis Trintignant Robert Ryan Lea Massari René Clément Crime Drama
Nicolas Gessner,Sharon Tate,Vittorio Gassman,Orson Welles,Comedy,twelve plus one,Sharon Tate Vittorio Gassman Orson Welles Nicolas Gessner Comedy
Nicolas Gessner,Claudio Brook,Mireille Darc,Françoise Brion,Drama Comedy Crime Thriller,the blonde from peking,Claudio Brook Mireille Darc Françoise Brion Nicolas Gessner Drama Comedy Crime Thriller
Nicolas Gessner,Jean Seberg,Claude Rich,Elsa Martinelli,Crime,un milliard dans un billard,Jean Seberg Claude Rich Elsa Martinelli Nicolas Gessner Crime
René Clément,Alain Delon,Jane Fonda,Lola Albright,Thriller Drama Crime,joy house,Alain Delon Jane Fonda Lola Albright René Clément Thriller Drama Crime
René Clément,Alain Delon,Barbara Lass,Gino Cervi,Comedy,the joy of living,Alain Delon Barbara Lass Gino Cervi René Clément Comedy
René Clément,Jean Gabin,Isa Miranda,Vera Talchi,Drama,the walls of malapaga,Jean Gabin Isa Miranda Vera Talchi René Clément Drama
Erik Sharkey,Drew Struzan,Michael J. Fox,George Lucas,Documentary,drew: the man behind the poster,Drew Struzan Michael J. Fox George Lucas Erik Sharkey Documentary
Fernando Di Leo,Luc Merenda,Lee J. Cobb,Gabriele Ferzetti,Crime,nick the sting,Luc Merenda Lee J. Cobb Gabriele Ferzetti Fernando Di Leo Crime
Richard LaGravenese,Anna Kendrick,Jeremy Jordan,Natalie Knepp,Comedy Drama Music Romance,the last five years,Anna Kendrick Jeremy Jordan Natalie Knepp Richard LaGravenese Comedy Drama Music Romance
Mårten Knutsson Torkel Knutsson,Henrik Norberg,Lisa Kock,Martin Forsström,Comedy,naked,Henrik Norberg Lisa Kock Martin Forsström Mårten Knutsson Torkel Knutsson Comedy
Liz Marshall,Jo-Anne McArthur,Marcel Sabat,Lori Reese,Documentary,the ghosts in our machine,Jo-Anne McArthur Marcel Sabat Lori Reese Liz Marshall Documentary
Guillermo del Toro,Mia Wasikowska,Jessica Chastain,Tom Hiddleston,Mystery Thriller Fantasy Horror Drama,crimson peak,Mia Wasikowska Jessica Chastain Tom Hiddleston Guillermo del Toro Mystery Thriller Fantasy Horror Drama
Logan Sekulow,Travis Tritt,Olan Rogers,Ryan Dunlap,Drama Family,as dreamers do,Travis Tritt Olan Rogers Ryan Dunlap Logan Sekulow Drama Family
Colin Teague,Julian Morris,Tamzin Merchant,Jassa Ahluwalia,Action Adventure Fantasy,dragonheart 3: the sorcerer's curse,Julian Morris Tamzin Merchant Jassa Ahluwalia Colin Teague Action Adventure Fantasy
Jonathan Heap,Kurtwood Smith,Jane Alden,Don Amendolia,Sci-Fi,12:01 pm,Kurtwood Smith Jane Alden Don Amendolia Jonathan Heap Sci-Fi
Larry Elikann,Joanna Kerns,Dan Lauria,Bonnie Bartlett,Drama Action,the great los angeles earthquake,Joanna Kerns Dan Lauria Bonnie Bartlett Larry Elikann Drama Action
Oz Scott,Richard Masur,Eugene Levy,Mimi Kennedy,Horror Family Comedy,bride of boogedy,Richard Masur Eugene Levy Mimi Kennedy Oz Scott Horror Family Comedy
Marcel Carné,Danièle Gaubert,Roland Lesaffre,Maurice Caffarelli,Drama,wasteland,Danièle Gaubert Roland Lesaffre Maurice Caffarelli Marcel Carné Drama
Philippa Lowthorpe,James Purefoy,Hugh Bonneville,Phil Davis,Drama History,beau brummell: this charming man,James Purefoy Hugh Bonneville Phil Davis Philippa Lowthorpe Drama History
Sheree Folkson,David Tennant,Rose Byrne,Peter O'Toole,Drama Comedy Romance,casanova,David Tennant Rose Byrne Peter O'Toole Sheree Folkson Drama Comedy Romance
Sadyk Sher-Niyaz,Elina Abai Kyzy,Aziz Muradillayev,Nasira Mambetov,Drama Action,queen of the mountains,Elina Abai Kyzy Aziz Muradillayev Nasira Mambetov Sadyk Sher-Niyaz Drama Action
Ivan Andonov,Hristo Shopov,Georgi Staykov,Georgi Rusev,Drama,yesterday,Hristo Shopov Georgi Staykov Georgi Rusev Ivan Andonov Drama
